sf_object,field_section,Type,Field Label,Field Name,Related To (Parent Object),Length,Decimal Places,Visible Lines,Picklist Values,Global Picklist Value Set,Default Value,Formula Details,Required,Track Field History,Unique,External ID,Description,Help Text
Account,Standard Fields,Text,Account Number,AccountNumber,,40,0,,,,,,false,false,false,false,,This field is not used.
Account,Standard Fields,Picklist,Account Source,AccountSource,,255,0,,Advertisement ; Customer Event ; Employee Referral ; Fuel Retailer ; Google AdWords ; Purchased List ; Trade Show ; Webinar ; Website ; LinkedIn Sales Navigator ; Event ; LinkedIn Paid Media ;,,,,false,false,false,false,,This shows where the account came from.
Account,Standard Fields,"Currency(18,0)",Annual Revenue,AnnualRevenue,,,0,,,,,,false,false,false,false,,This field is not used.
Account,Standard Fields,Address,Street Address,BillingAddress,,0,0,,,,,,false,false,false,false,,
Account,Standard Fields,Text,Street City,BillingCity,,40,0,,,,,,false,false,false,false,,
Account,Standard Fields,Text,Street Country,BillingCountry,,80,0,,,,,,false,false,false,false,,
Account,Standard Fields,Picklist,Billing Geocode Accuracy,BillingGeocodeAccuracy,,40,0,,Address ; Near Address ; Block ; Street ; Extended Zip ; Zip ; Neighborhood ; City ; County ; State ; Unknown ;,,,,false,false,false,false,,
Account,Standard Fields,"Number(3,15)",Street Latitude,BillingLatitude,,,15,,,,,,false,false,false,false,,
Account,Standard Fields,"Number(3,15)",Street Longitude,BillingLongitude,,,15,,,,,,false,false,false,false,,
Account,Standard Fields,Text,Street Zip/Postal Code,BillingPostalCode,,20,0,,,,,,false,false,false,false,,
Account,Standard Fields,Text,Street State/Province,BillingState,,80,0,,,,,,false,false,false,false,,
Account,Standard Fields,TextArea,Street,BillingStreet,,255,0,,,,,,false,false,false,false,,
Account,Standard Fields,Lookup(User),Created By ID,CreatedById,,18,0,,,,,,true,false,false,false,,
Account,Standard Fields,DateTime,Created Date,CreatedDate,,,0,,,,,,true,false,false,false,,
Account,Standard Fields,Long Text Area(32000),Account Description,Description,,32000,0,,,,,,false,false,false,false,,This is a description of the account and contains any relevant information about the company.
Account,Standard Fields,Phone,Account Fax,Fax,,40,0,,,,,,false,false,false,false,,This is the company's fax number.
Account,Standard Fields,ID,Account ID,Id,,18,0,,,,,,true,false,false,false,,
Account,Standard Fields,Picklist,Industry,Industry,,255,0,,Agriculture ; Apparel ; Banking ; Biotechnology ; Chemicals ; Communications ; Construction ; Consulting ; Education ; Electronics ; Energy ; Engineering ; Entertainment ; Environmental ; Finance ; Food & Beverage ; Government ; Healthcare ; Hospitality ; Insurance ; Machinery ; Manufacturing ; Media ; Not For Profit ; Other ; Recreation ; Retail ; Shipping ; Technology ; Telecommunications ; Transportation ; Utilities ;,,,,false,false,false,false,,This field is not used.
Account,Standard Fields,Text,Data.com Key,Jigsaw,,20,0,,,,,,false,false,false,false,,This field is not used.
Account,Standard Fields,Text,Jigsaw Company ID,JigsawCompanyId,,20,0,,,,,,false,false,false,false,,
Account,Standard Fields,Date,Last Activity,LastActivityDate,,,0,,,,,,false,false,false,false,,
Account,Standard Fields,Lookup(User),Last Modified By ID,LastModifiedById,,18,0,,,,,,true,false,false,false,,
Account,Standard Fields,DateTime,Last Modified Date,LastModifiedDate,,,0,,,,,,true,false,false,false,,
Account,Standard Fields,Lookup(Account),Master Record ID,MasterRecordId,,18,0,,,,,,false,false,false,false,,
Account,Standard Fields,Text,Account Name,Name,,255,0,,,,,,true,false,false,false,,
Account,Standard Fields,Integer,Employees,NumberOfEmployees,,0,0,,,,,,false,false,false,false,,Number of employees at this company.
Account,Standard Fields,Lookup(OperatingHours),Operating Hour ID,OperatingHoursId,,18,0,,,,,,false,false,false,false,,
Account,Standard Fields,Lookup(User),Owner ID,OwnerId,,18,0,,,,,,true,false,false,false,,This is the person that owns this advertiser or agency.
Account,Standard Fields,Picklist,Ownership,Ownership,,255,0,,Public ; Private ; Subsidiary ; Other ;,,,,false,false,false,false,,This field is not used.
Account,Standard Fields,Lookup(Account),Parent Account ID,ParentId,,18,0,,,,,,false,false,false,false,,This is the parent account for this account.
Account,Standard Fields,Phone,Account Phone,Phone,,40,0,,,,,,false,false,false,false,,This is the main phone number for this account.
Account,Standard Fields,URL,Photo URL,PhotoUrl,,255,0,,,,,,false,false,false,false,,
Account,Standard Fields,Picklist,Account Rating,Rating,,255,0,,Hot ; Warm ; Cold ;,,,,false,false,false,false,,This field is not used.
Account,Standard Fields,Lookup(RecordType),Record Type ID,RecordTypeId,,18,0,,,,,,false,false,false,false,,"This is the type of account. Advertiser and Agency are used for AE accounts. Content Partner is used for content partnership accounts. Retailer is only used for retailer accounts, such as gas stations. System should only be used by admins."
Account,Standard Fields,Address,Mailing Address,ShippingAddress,,0,0,,,,,,false,false,false,false,,
Account,Standard Fields,Text,Mailing City,ShippingCity,,40,0,,,,,,false,false,false,false,,
Account,Standard Fields,Text,Mailing Country,ShippingCountry,,80,0,,,,,,false,false,false,false,,
Account,Standard Fields,Picklist,Shipping Geocode Accuracy,ShippingGeocodeAccuracy,,40,0,,Address ; Near Address ; Block ; Street ; Extended Zip ; Zip ; Neighborhood ; City ; County ; State ; Unknown ;,,,,false,false,false,false,,
Account,Standard Fields,"Number(3,15)",Mailing Latitude,ShippingLatitude,,,15,,,,,,false,false,false,false,,
Account,Standard Fields,"Number(3,15)",Mailing Longitude,ShippingLongitude,,,15,,,,,,false,false,false,false,,
Account,Standard Fields,Text,Mailing Zip/Postal Code,ShippingPostalCode,,20,0,,,,,,false,false,false,false,,
Account,Standard Fields,Text,Mailing State/Province,ShippingState,,80,0,,,,,,false,false,false,false,,
Account,Standard Fields,TextArea,Mailing Street,ShippingStreet,,255,0,,,,,,false,false,false,false,,
Account,Standard Fields,Text,SIC Code,Sic,,20,0,,,,,,false,false,false,false,,This field is not used.
Account,Standard Fields,Text,SIC Description,SicDesc,,80,0,,,,,,false,false,false,false,,This field is not used.
Account,Standard Fields,Text,Account Site,Site,,80,0,,,,,,false,false,false,false,,This field is not used.
Account,Standard Fields,Text,Ticker Symbol,TickerSymbol,,20,0,,,,,,false,false,false,false,,This field is not used.
Account,Standard Fields,Text,Einstein Account Tier,Tier,,2,0,,,,,,false,false,false,false,,
Account,Standard Fields,Picklist,Account Type,Type,,255,0,,Prospect ; Client X ; Standard ; Strategic ; Enterprise ; Next Up ; Managed Service ; Affiliate ;,,,,false,false,false,false,,
Account,Standard Fields,URL,Website,Website,,255,0,,,,,,false,false,false,false,,Company website for this account.
Account,Custom Fields,Text,AB Account ID,AB2__ABAccountID__c,,255,,,,,,,false,true,false,true,,FatTail to Provide.
Account,Custom Fields,Picklist,AB Account Type,AB2__ABAccountType__c,,,,,;Client;Agency;,,,,false,false,false,false,,
Account,Custom Fields,Checkbox,AB Is Credit Risk,AB2__ABIsCreditRisk__c,,,,,,,false,,false,false,false,false,AdBook IsCreditRisk field,
Account,Custom Fields,Picklist,Active,AB2__Active__c,,,,,;No;Yes;,,,,false,false,false,false,,
Account,Custom Fields,Formula (Text),Account ID 18,Account_ID_18__c,,,,,,,,CASESAFEID(Id),false,false,false,false,,Full 18-character Account ID
Account,Custom Fields,Lookup,Account Manager,Account_Manager__c,User,,,,,,,,false,false,false,false,,
Account,Custom Fields,Formula (Text),Account Name (Link),Account_Name_Link__c,,,,,,,,"HYPERLINK(""/lightning/r/Account/"" & Id & ""/view"", Name, ""_blank"")",false,false,false,false,,
Account,Custom Fields,Html,Account Team Summary,Account_Team_Summary__c,,32768,,25,,,,,false,true,false,false,,
Account,Custom Fields,Formula (Number),Accounts,Accounts__c,,18,0,,,,,1,false,false,false,false,Power of One field for Accounts,Used for counts on reporting.
Account,Custom Fields,Formula (Checkbox),Acct Team Update Req,Acct_Team_Update_Req__c,,,,,,,,"OR(
AND(
Buying_Agency_Rep_ID__c <> """",
Buying_Agency__r.OwnerId <> Buying_Agency_Rep_ID__c
),
AND(
Planning_Agency_Rep_ID__c <> """",
Planning_Agency__r.OwnerId <> Planning_Agency_Rep_ID__c
))",false,false,false,false,,Update to the account team is required
Account,Custom Fields,Formula (Checkbox),Active Owner,Active_Owner__c,,,,,,,,Owner.IsActive,false,false,false,false,,This shows if the owner of the account is an active user.
Account,Custom Fields,Lookup,Ad Ops,Ad_Ops__c,User,,,,,,,,false,false,false,false,,
Account,Custom Fields,MultiselectPicklist,Additional Offerings,Additional_Offerings__c,,,,4,;Extra RPA spots;Retailer-branded bumper;Retailer-branded GSTV content;Retailer-produced content;Custom voiceovers;Custom GSTV-produced RPAs​;,,,,false,false,false,false,RS request to track additional offerings at a retailer level,
Account,Custom Fields,Checkbox,Advertiser Restricts Promotions,Advertiser_Restricts_Promotions__c,,,,,,,false,,false,false,false,false,,Advertiser has requested that we not use or share their logo or ad spots in our marketing/sales materials.
Account,Custom Fields,Text,Advertiser (Vistar),Advertiser_Vistar__c,,255,,,,,,,false,false,false,false,,"This field combines the original name given to the account and "" - GSTV"". It is to be used as the Advertiser in Vistar for scheduling."
